Electronics,Smartphones,Xiaomi 13,91,239,157315.74,107091.98,50223.76,10,0.3192545132483247
Electronics,Smartphones,OnePlus 11,120,334,192757.39,144394.06,48363.33,24,0.2509025983387719
Electronics,Tablets,Lenovo Tab P12,98,284,158693.27,110822.53,47870.74,11,0.3016557664984785
Electronics,Smartphones,Samsung Galaxy S23,106,272,167161.36,123670.95,43490.41,17,0.26017023312086

Category,Sub_Category,Product_Name,Orders,Units,Revenue,Cost,Profit,Loss_Orders,Margin_%
Books & Media,Books,Thinking Fast and Slow,189,504,10353.83,7581,2772.83,22,0.26780717859961
Books & Media,Books,The Psychology of Money,203,590,11335.81,8384.11,2951.7,23,0.2603872153820503
Books & Media,Books,Deep Work,206,576,11996.11,8981.03,3015.08,28,0.2513381421144021
Books & Media,Books,Rich Dad Poor Dad,213,569,11462.37,8412.7,3049.67,30,0.266059287913407
Books & Media,Books,Atomic Habits,211,580,12181.12,8777.49,3403.63,27,0.2794184771186886
Clothing,Men's Wear,Classic T-Shirt,118,307,15792.03,11388.77,4403.26,14,0.2788279910815772
Beauty & Health,Supplements,Whey Protein 2kg,192,488,18399.26,13759.48,4639.78,27,0.2521720982256895
Clothing,Men's Wear,Slim Fit Jeans,121,343,18256.18,13548.92,4707.26,20,0.257844740794624
Clothing,Men's Wear,Chino Pants,129,362,18640.64,13719.89,4920.75,15,0.263979670225915
Beauty & Health,Supplements,Vitamin D3,200,504,19874.7,14835.33,5039.37,29,0.2535570348231671

4. CUSTOMER ANALYSIS: SEGMENTATION & GENDER PERFORMANCE
Customer_Segment,Orders,Unique_Cust,Revenue,Cost,Profit,Avg_Discount,Loss_Orders,AOV,Margin_%,Orders_per_Cust
Regular,5073,3629,2717416.06,1985656.18,731759.88,0.1775280898876405,679,535.6625389315986,0.2692851826304434,1.397905759162304
New,1942,1677,1017899.86,729196.62,288703.24,0.1750257466529351,260,524.1502883625128,0.2836263677254067,1.158020274299344
Premium,1961,1729,974664.57,701438.26,273226.31,0.1720550739418664,247,497.0242580316165,0.2803285544687441,1.134181607865818
VIP,1024,962,574407.21,430458.33,143948.88,0.18515625,152,560.944541015625,0.2506042359739879,1.064449064449065

Customer_Gender,Orders,Revenue,Cost,Profit,Avg_Discount,Loss_Orders,AOV,Margin_%
Female,5097,2660403.85,1929217.37,731186.48,0.1755934863645282,663,521.954845987836,0.2748404081583328
Male,4903,2623983.85,1917532.02,706451.83,0.177952274117887,675,535.1792473995513,0.2692287263886933

5. GEOGRAPHIC ANALYSIS: REGIONAL & COUNTRY LEVEL BREAKDOWN
Region,Orders,Revenue,Cost,Profit,Avg_Ship_Days,Avg_Ship_Cost,Loss_Orders,Rev_Share_%,Margin_%
Middle East,2458,1348593.22,964070.37,384522.85,12.51301871440195,32.58111065907242,309,0.2552033076604126,0.2851288619113775
North America,2602,1331129.75,964412.33,366717.42,6.468870099923136,31.93478478093774,343,0.251898578524055,0.2754933694480196
Asia,2494,1330007.18,979593.7,350413.48,17.48155573376103,32.76006415396953,329,0.2516861471008269,0.2634673596273368
Europe,2446,1274657.55,938672.99,335984.56,9.473834832379396,31.93647179067866,357,0.2412119667147057,0.263588098623038

Region,Country,Orders,Revenue,Profit,Avg_Ship_Days,Loss_Orders,Margin_%
North America,Canada,876,454911.29,121002.8,6.312785388127854,118,0.2659920794667461
North America,USA,829,444541.88,123170.72,6.551266586248492,106,0.2770733772035157
North America,Mexico,897,431676.58,122543.9,6.545150501672241,119,0.2838789632738473
Middle East,Egypt,481,344299.35,103930.99,12.33264033264033,57,0.3018622893130644
Middle East,Jordan,509,297916.85,85073.63,12.62082514734774,71,0.2855616592347832
Asia,China,516,295780.41,73762.21,17.42441860465116,69,0.2493816612127896
Asia,Japan,484,288011.04,74848.58,17.3595041322314,73,0.2598809406750519
Europe,Italy,512,279837.36,77982.55,9.61328125,82,0.2786709751692912
Asia,India,523,271854.16,79751.95,17.09177820267686,81,0.2933629928635266
Europe,France,461,263944.47,78543.11,9.563991323210413,59,0.2975743723670362

Region,Country,Orders,Revenue,Profit,Avg_Ship_Days,Loss_Orders,Margin_%
North America,USA,829,444541.88,123170.72,6.551266586248492,106,0.2770733772035157
North America,Mexico,897,431676.58,122543.9,6.545150501672241,119,0.2838789632738473
North America,Canada,876,454911.29,121002.8,6.312785388127854,118,0.2659920794667461
Middle East,Egypt,481,344299.35,103930.99,12.33264033264033,57,0.3018622893130644
Middle East,Jordan,509,297916.85,85073.63,12.62082514734774,71,0.2855616592347832
Asia,India,523,271854.16,79751.95,17.09177820267686,81,0.2933629928635266
Europe,France,461,263944.47,78543.11,9.563991323210413,59,0.2975743723670362
Europe,Italy,512,279837.36,77982.55,9.61328125,82,0.2786709751692912
Asia,Japan,484,288011.04,74848.58,17.3595041322314,73,0.2598809406750519
Asia,China,516,295780.41,73762.21,17.42441860465116,69,0.2493816612127896

Region,Country,Orders,Revenue,Profit,Avg_Ship_Days,Loss_Orders,Margin_%
Asia,South Korea,486,238989.94,56787.7,18.06584362139918,57,0.2376154410516191
Middle East,UAE,510,223334.15,56936.69,12.53333333333333,63,0.2549394707437264
Europe,Germany,491,237529.83,58269.9,9.521384928716904,71,0.245316135661782
Europe,UK,513,250862.62,59212.52,9.399610136452242,75,0.2360356437320156
Europe,Spain,469,242483.27,61976.48,9.264392324093816,70,0.2555907465286162
Asia,Singapore,485,235371.63,65263.04,17.49896907216495,49,0.2772765774702754
Middle East,Saudi Arabia,456,238001.02,66937.98,12.65131578947368,60,0.2812508114461022
Middle East,Kuwait,502,245041.85,71643.56,12.43027888446215,58,0.2923727518381043
Asia,China,516,295780.41,73762.21,17.42441860465116,69,0.2493816612127896
Asia,Japan,484,288011.04,74848.58,17.3595041322314,73,0.2598809406750519

6. DISCOUNT SENSITIVITY & MARGIN EROSION ANALYSIS
Discount,Orders,Revenue,Cost,Profit,Loss_Orders,Loss_Dollars,Margin_%,Loss_Rate_%
0,2700,1784476.34,1062194.28,722282.06,0,0,0.4047585523044817,0
0.05,931,549190.76,341413.97,207776.79,0,0,0.3783326398280991,0
0.1,912,494339.41,325375.36,168964.05,0,0,0.3417976527503644,0
0.15,915,484958,344910.9,140047.1,0,0,0.2887819151349189,0
0.2,870,435683.03,317036.5,118646.53,0,0,0.2723230464128933,0
0.25,966,412994.09,338400.92,74593.17,0,0,0.1806155870172379,0
0.3,922,448950.04,388773.44,60176.6,137,-2331.2,0.1340385224155454,0.148590021691974
0.4,916,387529.83,388530.34,-1000.51,459,-24612.03,-0.002581762544576246,0.5010917030567685
0.5,868,286266.2,340113.68,-53847.48,742,-56552.12,-0.1881028217791692,0.8548387096774194

7. LOGISTICS ANALYSIS: SHIPPING METHODS & TRANSIT BOTTLENECK
Shipping_Method,Orders,Revenue,Gross_Profit,Freight_Total,Avg_Freight,Min_Days,Median_Days,Mean_Days,Max_Days,Net_Profit_After_Shipping,Gross_Margin_%,Net_Margin_%
Economy,2516,1329212.09,357845.51,15310.18,6.085127186009539,3,10,11.4566772655008,25,342535.33,0.2692162617931048,0.2576980246997302
Express,2504,1274849.01,340402.46,87841.03,35.08028354632588,3,10,11.33746006389776,25,252561.43,0.267013942302077,0.1981108570653398
Overnight,2522,1415864.04,403633.49,189316.97,75.0662053925456,3,10,11.50991276764473,25,214316.52,0.2850792721594935,0.1513680084706438
Standard,2458,1264462.56,335756.85,30530.71,12.42095606183889,3,11,11.43978844589097,25,305226.14,0.2655332475799046,0.2413880407815317

"8. ORDER STATUS: DELIVERED, RETURNED, CANCELLED & PROCESSING"
Order_Status,Orders,Revenue,Profit,Freight,Avg_Days,Volume_%,Rev_Share_%,Profit_Share_%,Margin_%
Cancelled,908,499132.22,123283.92,29143.97,11.66409691629956,0.0908,0.09445412568801492,0.08575447603368332,0.2469965172755227
Delivered,6273,3308169.75,909034.36,203049.59,11.43312609596684,0.6273,0.626027070269655,0.6323108904909469,0.2747846781441611
Processing,962,537441.33,150815.96,31377.57,11.26819126819127,0.0962,0.1017036145928506,0.1049053568974522,0.2806184630422822
Returned,1857,939644.4,254504.07,59427.76,11.421647819063,0.1857,0.1778151894494797,0.1770292765779176,0.27085147317432

"9. PROFITABILITY AUDIT: LOSS ORDERS, VALUE DESTROYERS & RISK CONCENTRATION"
Metric,Calculated Value
Total Loss-Making Orders,1338
Loss Order Rate %,0.1338
Total Loss Dollars ($),-83495.35
Net Business Gross Profit ($),1437638.31

Category,Total_Orders,Loss_Orders,Total_Loss_Dollars,Net_Profit,Loss_Rate_%
Home & Kitchen,2008,289,-17477.59,232421.45,0.1439243027888446
Electronics,1977,284,-51541.09,925448.15,0.1436519979767324
Books & Media,2043,270,-5674.26,105037.69,0.13215859030837
Beauty & Health,1995,256,-3235.36,59025.73,0.1283208020050125
Clothing,1977,239,-5567.050000000001,115705.29,0.1208902377339403

Product_Name,Loss_Orders,Loss_Dollars,Avg_Discount,Min_Discount
OnePlus 11,24,-6088.95,0.4541666666666667,0.3
ASUS ZenBook,14,-5602.95,0.4285714285714285,0.3
Lenovo ThinkPad X1,11,-5219.65,0.4545454545454545,0.4
Dell XPS 15,21,-3885.16,0.4333333333333333,0.3
Samsung Galaxy S23,17,-3878.84,0.4411764705882353,0.3
MacBook Air M2,10,-3827.41,0.49,0.4
HP Spectre x360,10,-3377.12,0.43,0.4
Office Chair,16,-3230.14,0.475,0.4
TV Stand,19,-3036.9,0.468421052631579,0.4
iPhone 14,18,-2898.36,0.45,0.3

10. STATISTICAL RELATIONSHIPS & PEARSON CORRELATION MATRIX
Relationship Pair,Pearson r,Strength / Direction,Operational Meaning
Revenue vs Profit,0.8491844377594072,Strong Positive,Higher revenue translates directly into larger gross profit dollars.
Discount vs Profit,-0.2540756228285076,Moderate Negative,Higher percentage discounts reduce total dollar profit.
Discount vs Profit Margin %,-0.8305470864791565,Very Strong Negative,Steep inverse correlation: discounts directly crush percentage margins.
Quantity vs Revenue,0.3333686910138429,Moderate Positive,Larger basket sizes expand order revenue.
Shipping Cost vs Profit,0.01355188442058312,Zero Linear,Shipping tier cost is completely independent of product gross margin.
Shipping Days vs Profit,0.005593098812139693,Zero Linear,Delivery transit duration has no linear association with order profitability.
Revenue vs Cost (COGS),0.9633733212462623,Extremely Strong Positive,Cost of goods sold tracks revenue in lockstep.
Shipping Cost vs Shipping Days,0.002926464397880101,Zero Linear,CRITICAL ANOMALY: Paying 12x higher shipping cost provides 0 transit speed gain.
